X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5.0	49
5.1	48
5.2	57
5.3	58
5.4	56
5.5	65
5.6	60
5.7	55
5.8	59
5.9	56
6.0	55
6.1	57
6.2	54
6.3	57
6.4	52
6.5	48
6.6	49
6.7	58
6.8	52
6.9	49
7.0	49
7.1	57
7.2	49
7.3	49
7.4	51
7.5	52
7.6	53
7.7	50
7.8	54
7.9	60
8.0	52
8.1	60
8.2	52
8.3	51
8.4	52
8.5	56
8.6	49
8.7	56
8.8	51
8.9	54
9.0	45
9.1	52
9.2	48
9.3	46
9.4	48
9.5	50
9.6	42
9.7	49
9.8	53
9.9	50
10.0	50
10.1	53
10.2	60
10.3	63
10.4	60
10.5	62
10.6	46
10.7	43
10.8	46
10.9	45
11.0	45
11.1	50
11.2	62
11.3	80
11.4	81
11.5	97
11.6	98
11.7	106
11.8	100
11.9	90
12.0	49
12.1	40
12.2	43
12.3	43
12.4	36
12.5	41
12.6	34
12.7	44
12.8	39
12.9	41
13.0	38
13.1	35
13.2	37
13.3	38
13.4	38
13.5	39
13.6	35
13.7	32
13.8	38
13.9	33
14.0	37
14.1	35
14.2	31
14.3	36
14.4	36
14.5	33
14.6	32
14.7	25
14.8	33
14.9	29
15.0	28
15.1	26
15.2	26
15.3	29
15.4	25
15.5	27
15.6	26
15.7	29
15.8	26
15.9	30
16.0	25
16.1	27
16.2	26
16.3	25
16.4	22
16.5	22
16.6	20
16.7	24
16.8	25
16.9	23
17.0	21
17.1	20
17.2	21
17.3	20
17.4	23
17.5	23
17.6	21
17.7	21
17.8	22
17.9	21
18.0	21
18.1	24
18.2	22
18.3	21
18.4	22
18.5	18
18.6	23
18.7	20
18.8	18
18.9	17
19.0	17
19.1	16
19.2	18
19.3	19
19.4	17
19.5	21
19.6	14
19.7	16
19.8	17
19.9	14
20.0	15
20.1	15
20.2	19
20.3	13
20.4	16
20.5	13
20.6	15
20.7	14
20.8	16
20.9	16
21.0	15
21.1	16
21.2	15
21.3	15
21.4	15
21.5	10
21.6	16
21.7	11
21.8	11
21.9	13
22.0	12
22.1	13
22.2	15
22.3	12
22.4	15
22.5	21
22.6	19
22.7	23
22.8	28
22.9	30
23.0	31
23.1	48
23.2	56
23.3	84
23.4	92
23.5	75
23.6	28
23.7	16
23.8	17
23.9	16
24.0	15
24.1	12
24.2	15
24.3	14
24.4	15
24.5	12
24.6	15
24.7	12
24.8	14
24.9	14
25.0	16
25.1	16
25.2	27
25.3	29
25.4	39
25.5	47
25.6	51
25.7	69
25.8	82
25.9	101
26.0	143
26.1	194
26.2	215
26.3	308
26.4	271
26.5	137
26.6	39
26.7	17
26.8	13
26.9	14
27.0	12
27.1	9
27.2	12
27.3	14
27.4	7
27.5	11
27.6	12
27.7	8
27.8	6
27.9	7
28.0	9
28.1	10
28.2	7
28.3	9
28.4	8
28.5	11
28.6	7
28.7	9
28.8	10
28.9	10
29.0	9
29.1	9
29.2	7
29.3	9
29.4	9
29.5	8
29.6	7
29.7	8
29.8	7
29.9	7
30.0	7
30.1	9
30.2	8
30.3	7
30.4	7
30.5	5
30.6	8
30.7	7
30.8	7
30.9	7
31.0	8
31.1	7
31.2	6
31.3	5
31.4	6
31.5	7
31.6	5
31.7	8
31.8	9
31.9	6
32.0	7
32.1	7
32.2	6
32.3	8
32.4	8
32.5	8
