X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5.0	152
5.1	155
5.2	166
5.3	170
5.4	175
5.5	173
5.6	186
5.7	176
5.8	179
5.9	189
6.0	184
6.1	166
6.2	186
6.3	174
6.4	188
6.5	185
6.6	194
6.7	188
6.8	184
6.9	195
7.0	204
7.1	185
7.2	175
7.3	171
7.4	156
7.5	150
7.6	148
7.7	147
7.8	144
7.9	135
8.0	132
8.1	144
8.2	147
8.3	136
8.4	141
8.5	130
8.6	141
8.7	128
8.8	135
8.9	127
9.0	128
9.1	121
9.2	123
9.3	122
9.4	113
9.5	112
9.6	111
9.7	116
9.8	109
9.9	96
10.0	106
10.1	105
10.2	99
10.3	106
10.4	97
10.5	99
10.6	97
10.7	96
10.8	85
10.9	95
11.0	92
11.1	85
11.2	82
11.3	83
11.4	70
11.5	86
11.6	85
11.7	101
11.8	164
11.9	552
12.0	1266
12.1	746
12.2	221
12.3	146
12.4	131
12.5	112
12.6	105
12.7	92
12.8	99
12.9	105
13.0	96
13.1	112
13.2	151
13.3	256
13.4	619
13.5	2861
13.6	4241
13.7	1721
13.8	453
13.9	217
14.0	152
14.1	102
14.2	81
14.3	77
14.4	70
14.5	64
14.6	69
14.7	60
14.8	63
14.9	53
15.0	58
15.1	61
15.2	61
15.3	47
15.4	47
15.5	57
15.6	50
15.7	42
15.8	53
15.9	51
16.0	48
16.1	43
16.2	50
16.3	49
16.4	43
16.5	46
16.6	40
16.7	39
16.8	40
16.9	36
17.0	35
17.1	38
17.2	31
17.3	33
17.4	31
17.5	32
17.6	35
17.7	33
17.8	36
17.9	28
18.0	32
18.1	28
18.2	34
18.3	27
18.4	24
18.5	24
18.6	29
18.7	26
18.8	28
18.9	25
19.0	24
19.1	25
19.2	27
19.3	23
19.4	22
19.5	21
19.6	20
19.7	24
19.8	24
19.9	25
20.0	20
20.1	22
20.2	21
20.3	20
20.4	19
20.5	22
20.6	18
20.7	21
20.8	17
20.9	20
21.0	21
21.1	21
21.2	21
21.3	23
21.4	20
21.5	20
21.6	22
21.7	18
21.8	17
21.9	17
22.0	15
22.1	16
22.2	21
22.3	18
22.4	19
22.5	17
22.6	15
22.7	18
22.8	17
22.9	19
23.0	14
23.1	14
23.2	19
23.3	17
23.4	12
23.5	16
23.6	14
23.7	15
23.8	15
23.9	14
24.0	17
24.1	16
24.2	13
24.3	11
24.4	14
24.5	14
24.6	15
24.7	15
24.8	16
24.9	15
25.0	15
25.1	14
25.2	13
25.3	14
25.4	15
25.5	14
25.6	13
25.7	13
25.8	11
25.9	12
26.0	14
26.1	13
26.2	12
26.3	13
26.4	9
26.5	14
26.6	13
26.7	15
26.8	14
26.9	17
27.0	23
27.1	29
27.2	119
27.3	216
27.4	96
27.5	29
27.6	21
27.7	18
27.8	17
27.9	18
28.0	16
28.1	13
28.2	12
28.3	14
28.4	13
28.5	14
28.6	11
28.7	14
28.8	12
28.9	15
29.0	14
29.1	11
29.2	9
29.3	13
29.4	14
29.5	10
29.6	10
29.7	12
29.8	15
29.9	15
30.0	17
30.1	19
30.2	15
30.3	18
30.4	21
30.5	30
30.6	51
30.7	248
30.8	753
30.9	676
31.0	237
31.1	42
31.2	26
31.3	17
31.4	16
31.5	16
31.6	14
31.7	15
31.8	10
31.9	13
32.0	11
32.1	12
32.2	10
32.3	8
32.4	10
