X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5.0	3953
5.1	4434
5.2	3848
5.3	3364
5.4	2973
5.5	2545
5.6	2123
5.7	1841
5.8	1522
5.9	1349
6.0	1153
6.1	940
6.2	748
6.3	637
6.4	555
6.5	467
6.6	380
6.7	352
6.8	321
6.9	253
7.0	255
7.1	223
7.2	196
7.3	217
7.4	194
7.5	215
7.6	204
7.7	213
7.8	207
7.9	181
8.0	203
8.1	204
8.2	181
8.3	193
8.4	199
8.5	179
8.6	202
8.7	184
8.8	194
8.9	178
9.0	187
9.1	202
9.2	194
9.3	193
9.4	196
9.5	181
9.6	194
9.7	199
9.8	204
9.9	203
10.0	199
10.1	204
10.2	201
10.3	217
10.4	219
10.5	198
10.6	194
10.7	217
10.8	207
10.9	202
11.0	191
11.1	201
11.2	213
11.3	204
11.4	192
11.5	206
11.6	184
11.7	203
11.8	184
11.9	186
12.0	172
12.1	171
12.2	152
12.3	139
12.4	150
12.5	149
12.6	140
12.7	146
12.8	148
12.9	147
13.0	138
13.1	130
13.2	136
13.3	124
13.4	118
13.5	116
13.6	111
13.7	109
13.8	108
13.9	109
14.0	114
14.1	99
14.2	123
14.3	116
14.4	81
14.5	107
14.6	97
14.7	98
14.8	96
14.9	84
15.0	87
15.1	95
15.2	90
15.3	76
15.4	81
15.5	94
15.6	80
15.7	82
15.8	88
15.9	97
16.0	76
16.1	78
16.2	86
16.3	81
16.4	99
16.5	112
16.6	273
16.7	970
16.8	973
16.9	248
17.0	149
17.1	110
17.2	96
17.3	105
17.4	100
17.5	100
17.6	101
17.7	120
17.8	132
17.9	158
18.0	232
18.1	414
18.2	1392
18.3	3555
18.4	2773
18.5	527
18.6	172
18.7	93
18.8	77
18.9	67
19.0	54
19.1	56
19.2	63
19.3	60
19.4	61
19.5	50
19.6	57
19.7	53
19.8	56
19.9	55
20.0	39
20.1	50
20.2	47
20.3	45
20.4	47
20.5	45
20.6	40
20.7	55
20.8	47
20.9	43
21.0	43
21.1	42
21.2	29
21.3	26
21.4	30
21.5	40
21.6	33
21.7	31
21.8	33
21.9	37
22.0	35
22.1	28
22.2	29
22.3	34
22.4	30
22.5	23
22.6	27
22.7	33
22.8	24
22.9	29
23.0	20
23.1	27
23.2	28
23.3	21
23.4	25
23.5	27
23.6	20
23.7	24
23.8	24
23.9	17
24.0	32
24.1	17
24.2	30
24.3	23
24.4	17
24.5	16
24.6	21
24.7	18
24.8	16
24.9	19
25.0	20
25.1	22
25.2	22
25.3	24
25.4	19
25.5	18
25.6	18
25.7	22
25.8	16
25.9	18
26.0	18
26.1	14
26.2	18
26.3	16
26.4	13
26.5	16
26.6	17
26.7	15
26.8	14
26.9	18
27.0	20
27.1	19
27.2	21
27.3	14
27.4	19
27.5	17
27.6	14
27.7	12
27.8	16
27.9	16
28.0	9
28.1	14
28.2	16
28.3	11
28.4	12
28.5	8
28.6	14
28.7	10
28.8	15
28.9	12
29.0	15
29.1	9
29.2	14
29.3	17
29.4	14
29.5	12
29.6	16
29.7	15
29.8	17
29.9	16
30.0	13
30.1	14
30.2	11
30.3	11
30.4	11
30.5	11
30.6	14
30.7	13
30.8	9
30.9	12
31.0	8
31.1	12
31.2	12
31.3	12
31.4	15
31.5	14
31.6	13
31.7	14
31.8	18
31.9	41
32.0	142
32.1	117
32.2	31
32.3	20
