Data saved on Tue, 27 Feb 2024 at 5:11 PM
Student name(s): 
Sample: 
Temperature: 
Comments: 
 
Freq. (Hz)   	Ch1 (V)      	Ch2 (V)      
790.00000	0.106652	-0.105187
800.00000	0.106659	-0.105179
810.00000	0.108025	-0.106514
820.00000	0.109452	-0.107911
830.00000	0.110856	-0.109276
840.00000	0.112229	-0.110650
850.00000	0.113602	-0.112000
860.00000	0.114983	-0.113381
870.00000	0.116349	-0.114731
880.00000	0.117722	-0.116089
890.00000	0.119080	-0.117463
900.00000	0.120461	-0.118844
910.00000	0.121819	-0.120186
920.00000	0.123192	-0.121544
930.00000	0.124581	-0.122918
940.00000	0.125932	-0.124283
950.00000	0.127297	-0.125642
960.00000	0.128686	-0.127015
970.00000	0.130044	-0.128373
980.00000	0.131417	-0.129739
990.00000	0.132768	-0.131097
1000.0000	0.134141	-0.132447
1010.0000	0.135514	-0.133821
1020.0000	0.136880	-0.135171
1030.0000	0.138238	-0.136529
1040.0000	0.139588	-0.137933
1050.0000	0.140939	-0.139260
1060.0000	0.000000	0.000000
1070.0000	0.000000	0.000000
1080.0000	0.000000	0.000000
1090.0000	0.000000	0.000000
1100.0000	0.000000	0.000000
