Data saved on Tue, 27 Feb 2024 at 5:15 PM
Student name(s): 
Sample: 
Temperature: 
Comments: 
 
Freq. (Hz)   	Ch1 (V)      	Ch2 (V)      
80.000000	0.144006	-0.142503
90.000000	0.143991	-0.142510
100.00000	0.011063	-0.010719
110.00000	0.012451	-0.012047
120.00000	0.013809	-0.013397
130.00000	0.015152	-0.014771
140.00000	0.016533	-0.016113
150.00000	0.017899	-0.017464
